product,repository,source,central_destination,classification,notes
Audit-Tool,Audit-Tool-,customer-docs/01-purpose-and-audience.md,customer/start-here/purpose-and-audience.md,central-common,Merge into shared audience and documentation-use guidance
Audit-Tool,Audit-Tool-,customer-docs/02-service-overview.md,customer/products/audit-tool/overview.md,central-product,Preserve Security Audit Toolkit service scope and deployment model
Audit-Tool,Audit-Tool-,customer-docs/03-roles-and-governance.md,customer/suite/roles-and-governance.md,central-common,Merge RACI and governance patterns with other products
Audit-Tool,Audit-Tool-,customer-docs/13-quick-start-linux-installation.md,customer/products/audit-tool/linux-installation.md,central-product,Audit-Tool Linux install details
Audit-Tool,Audit-Tool-,customer-docs/14-quick-start-windows-installation.md,customer/products/audit-tool/windows-installation.md,central-product,Audit-Tool Windows install details
Audit-Tool,Audit-Tool-,customer-docs/15-quick-start-agents.md,customer/products/audit-tool/agents.md,central-product,Agent deployment and operating model
Audit-Tool,Audit-Tool-,customer-docs/16-quick-start-api-integration.md,customer/products/audit-tool/api-integration.md,central-product,Audit-Tool API usage details
Audit-Tool,Audit-Tool-,customer-docs/17-quick-start-authentication-integration.md,customer/integrations/authentication-ldap-sso-entra.md,central-common,Merge with SSO and identity mapping docs
Audit-Tool,Audit-Tool-,customer-docs/18-quick-start-siem-integration.md,customer/integrations/siem-webhook-integration.md,central-common,Merge SIEM and webhook patterns
Audit-Tool,Audit-Tool-,customer-docs/19-maintenance-patching-and-release-runbook.md,customer/operations/maintenance-patching-release-runbook.md,central-common,Merge with common maintenance runbook
Audit-Tool,Audit-Tool-,customer-docs/27-login-recovery-and-first-login-reset-runbook.md,customer/products/audit-tool/first-login-recovery.md,central-product,Audit-Tool first-login recovery flow
Asset Command Centre,Asset-Command-Centre,customer-docs/asset-command-center/02-service-overview.md,customer/products/asset-command-centre/overview.md,central-product,Standalone collector and local reporting scope
Asset Command Centre,Asset-Command-Centre,customer-docs/asset-command-center/17-quick-start-cloud-and-virtualisation-connectors.md,customer/products/asset-command-centre/discovery-connectors.md,central-product,SSH WinRM SNMP IPMI Nmap and connector policy
Asset Command Centre,Asset-Command-Centre,customer-docs/asset-command-center/23-api-consumer-and-automation-guide.md,customer/products/asset-command-centre/api-automation.md,central-product,Asset API automation and forwarding
Asset Command Centre,Asset-Command-Centre,customer-docs/asset-command-center/25-managed-agent-server-operations-guide.md,customer/products/asset-command-centre/managed-agent-operations.md,central-product,Managed agent operations
Asset Command Centre,Asset-Command-Centre,customer-docs/asset-command-center/31-api-endpoints-and-data-collection-catalog.md,customer/products/asset-command-centre/data-collection-catalog.md,central-product,Collection catalog and API surface
AuditToolkit Linux Security Lite,audittoolkit-linux-security-lite,customer-docs/02-service-overview.md,customer/products/linux-security-lite/overview.md,central-product,Linux-only toolkit overview and supported distributions
AuditToolkit Linux Security Lite,audittoolkit-linux-security-lite,customer-docs/14-quick-start-ci-cd-compliance-gate.md,customer/products/linux-security-lite/cicd-compliance-gate.md,central-product,CI/CD compliance gate workflow
AuditToolkit Linux Security Lite,audittoolkit-linux-security-lite,customer-docs/16-quick-start-scheduled-audits.md,customer/products/linux-security-lite/scheduled-audits.md,central-product,Cron systemd timer and Ansible scheduling
AuditToolkit Linux Security Lite,audittoolkit-linux-security-lite,customer-docs/17-quick-start-agent-mode.md,customer/products/linux-security-lite/agent-mode.md,central-product,Standalone agent mode
AuditToolkit Linux Security Lite,audittoolkit-linux-security-lite,customer-docs/26-stig-coverage-matrix.md,customer/products/linux-security-lite/stig-coverage.md,central-product,STIG coverage matrix
CMDB API Data Collection Tool,cmdb-api-data-collection-tool,customer-docs/02-service-overview.md,customer/products/cmdb-api-data-collection-tool/overview.md,central-product,CMDB API collection service overview
CMDB API Data Collection Tool,cmdb-api-data-collection-tool,customer-docs/17-quick-start-cloud-and-virtualisation-connectors.md,customer/products/cmdb-api-data-collection-tool/connector-setup.md,central-product,Cloud and virtualisation connector setup
CMDB API Data Collection Tool,cmdb-api-data-collection-tool,customer-docs/25-managed-agent-server-operations-guide.md,customer/products/cmdb-api-data-collection-tool/managed-agent-onboarding.md,central-product,Managed agent server guide
CMDB API Data Collection Tool,cmdb-api-data-collection-tool,customer-docs/29-tenant-and-workspace-governance-guide.md,customer/products/cmdb-api-data-collection-tool/tenancy-workspace-governance.md,central-product,Tenant and workspace governance
CMDB API Data Collection Tool,cmdb-api-data-collection-tool,customer-docs/31-api-endpoints-and-data-collection-catalog.md,customer/products/cmdb-api-data-collection-tool/api-data-collection-catalog.md,central-product,API endpoints and data collection catalog
Switch Exposure Center,Switch-Exposure-Center,docs/customer-docs/switch-exposure-center/02-product-overview.md,customer/products/switch-exposure-center/overview.md,central-product,Switch exposure and advisory workflow overview
Switch Exposure Center,Switch-Exposure-Center,docs/customer-docs/switch-exposure-center/14-quick-start-advisory-refresh.md,customer/products/switch-exposure-center/advisory-refresh.md,central-product,Advisory refresh workflow
Switch Exposure Center,Switch-Exposure-Center,docs/customer-docs/switch-exposure-center/15-quick-start-api-usage.md,customer/products/switch-exposure-center/api-usage.md,central-product,Switch Exposure Center API usage
Switch Exposure Center,Switch-Exposure-Center,docs/customer-docs/switch-exposure-center/16-quick-start-scheduler.md,customer/products/switch-exposure-center/scheduler.md,central-product,Scheduler guidance
Switch Exposure Center,Switch-Exposure-Center,docs/customer-docs/switch-exposure-center/24-pentest-and-network-scanning.md,customer/products/switch-exposure-center/pentest-network-scanning.md,central-product,Pentest and network scanning guidance
All,All customer-docs/*legal*,legal/,local-pointer,Legal authority already centralized
All,All docs/LICENSING.md,licensing/overview.md,local-pointer,Licensing authority already centralized
